kind,key,path,url
official-document,cursor-agent,,https://cursor.com/docs/agent/overview
official-document,cursor-subagents,,https://cursor.com/docs/subagents
official-document,cursor-models,,https://cursor.com/docs/models
official-document,copilot-agent,,https://docs.github.com/en/copilot/concepts/agents/cloud-agent/about-cloud-agent
repository,copilot,,https://github.com/microsoft/vscode-copilot-chat
repository,vscode,,https://github.com/microsoft/vscode
official-document,copilot-models,,https://docs.github.com/en/copilot/reference/ai-models/supported-models
official-document,devin-cascade,,https://docs.devin.ai/desktop/cascade/cascade.md
official-document,devin-overview,,https://docs.devin.ai/get-started/first-run.md
official-document,devin-devin-outposts-self-hosted-infrastructure,,https://docs.devin.ai/cloud/outposts/overview.md
official-document,devin-models,,https://docs.devin.ai/cli/models.md
official-document,kiro-specs,,https://kiro.dev/docs/specs/
official-document,kiro-how,,https://kiro.dev/docs/how-kiro-works/
official-document,kiro-models,,https://kiro.dev/docs/models/
official-document,junie-home,,https://junie.jetbrains.com/
pinned-source,zed,README.md,https://github.com/zed-industries/zed/blob/16c9aa7ea6d897a8044d9501cde1b295256722f2/README.md
official-document,zed-agents,,https://zed.dev/docs/ai/overview
official-document,trae-home,,https://www.trae.ai/
official-document,augment-using-agent,,https://docs.augmentcode.com/jetbrains/using-augment/agent.md
official-document,augment-auggie,,https://docs.augmentcode.com/cli/overview.md
official-document,amp-modes-models,,https://ampcode.com/docs/markdown/models-and-subagents
official-document,amp-tools,,https://ampcode.com/docs/markdown/tools
official-document,amp-getting-started,,https://ampcode.com/docs/markdown/orbs/getting-started
official-document,factory-factory-missions,,https://docs.factory.ai/missions/overview.md
official-document,factory-sandbox,,https://docs.factory.ai/autonomy-and-safety/sandbox.md
official-document,factory-available-models,,https://docs.factory.ai/models.md
official-document,warp-cli,,https://docs.warp.dev/_llms-txt/warp-agent-cli.txt
official-document,antigravity-agent,,https://www.antigravity.google/docs/agent
official-document,antigravity-models,,https://www.antigravity.google/docs/models/
official-document,replit-agent,,https://docs.replit.com/features/agent/overview.md
official-document,replit-build-with-agent,,https://docs.replit.com/learn/build-with-agent.md
official-document,replit-managing-your-spend,,https://docs.replit.com/billing/managing-spend.md
official-document,qoder-overview,,https://docs.qoder.com/qoder/overview.md
official-document,qoder-quest,,https://docs.qoder.com/user-guide/quest/overview.md
official-document,qoder-models,,https://docs.qoder.com/cli/model.md
official-document,zcode-agent,,https://zcode.z.ai/en/docs/agents
pinned-source,hermes,README.md,https://github.com/NousResearch/hermes-agent/blob/42c1a93417fa588e735736a0740787ce37381ffd/README.md
pinned-source,hermes,agent/conversation_loop.py,https://github.com/NousResearch/hermes-agent/blob/42c1a93417fa588e735736a0740787ce37381ffd/agent/conversation_loop.py
pinned-source,openclaw,docs/concepts/agent-loop.md,https://github.com/openclaw/openclaw/blob/b419a4add99ff917504ed26168babdbde6ac7ab6/docs/concepts/agent-loop.md
pinned-source,openclaw,docs/concepts/memory.md,https://github.com/openclaw/openclaw/blob/b419a4add99ff917504ed26168babdbde6ac7ab6/docs/concepts/memory.md
pinned-source,agent-zero,README.md,https://github.com/agent0ai/agent-zero/blob/b1cbd1f960a1a5c4482b324dcff4742aa67b7a51/README.md
pinned-source,agent-zero,agent.py,https://github.com/agent0ai/agent-zero/blob/b1cbd1f960a1a5c4482b324dcff4742aa67b7a51/agent.py
pinned-source,agent-zero,tools/call_subordinate.py,https://github.com/agent0ai/agent-zero/blob/b1cbd1f960a1a5c4482b324dcff4742aa67b7a51/tools/call_subordinate.py
pinned-source,chatbox,README.md,https://github.com/chatboxai/chatbox/blob/0cf406cbd93197a89487c740cb101bef36641d35/README.md
official-document,chatbox-features,,https://chatboxai.app/en
pinned-source,chatbox,docs/technical/agent-skills.md,https://github.com/chatboxai/chatbox/blob/0cf406cbd93197a89487c740cb101bef36641d35/docs/technical/agent-skills.md
pinned-source,chatbox,docs/technical/ai-providers.md,https://github.com/chatboxai/chatbox/blob/0cf406cbd93197a89487c740cb101bef36641d35/docs/technical/ai-providers.md
pinned-source,cherry-studio,README.md,https://github.com/CherryHQ/cherry-studio/blob/633729727543cfe7ccab776cc08e3a24fa7a925d/README.md
pinned-source,cherry-studio,docs/references/ai/core-architecture.md,https://github.com/CherryHQ/cherry-studio/blob/633729727543cfe7ccab776cc08e3a24fa7a925d/docs/references/ai/core-architecture.md
pinned-source,open-webui,README.md,https://github.com/open-webui/open-webui/blob/8bd8b4fac5e059578ac0c74b3c18d11139f88b7d/README.md
pinned-source,open-webui,backend/open_webui/utils/middleware.py,https://github.com/open-webui/open-webui/blob/8bd8b4fac5e059578ac0c74b3c18d11139f88b7d/backend/open_webui/utils/middleware.py
pinned-source,open-webui,backend/open_webui/utils/tools.py,https://github.com/open-webui/open-webui/blob/8bd8b4fac5e059578ac0c74b3c18d11139f88b7d/backend/open_webui/utils/tools.py
pinned-source,librechat,README.md,https://github.com/danny-avila/LibreChat/blob/ef89fbd5b3840ef9b628ab0763a862623cdce18b/README.md
pinned-source,librechat,packages/api/src/agents/run.ts,https://github.com/danny-avila/LibreChat/blob/ef89fbd5b3840ef9b628ab0763a862623cdce18b/packages/api/src/agents/run.ts
pinned-source,librechat,packages/api/src/agents/client.ts,https://github.com/danny-avila/LibreChat/blob/ef89fbd5b3840ef9b628ab0763a862623cdce18b/packages/api/src/agents/client.ts
pinned-source,lobehub,README.md,https://github.com/lobehub/lobehub/blob/035f1e7476eb8a3c66befb76f16ae25673d31e4a/README.md
pinned-source,lobehub,packages/agent-runtime/src/core/runtime.ts,https://github.com/lobehub/lobehub/blob/035f1e7476eb8a3c66befb76f16ae25673d31e4a/packages/agent-runtime/src/core/runtime.ts
pinned-source,lobehub,apps/server/src/modules/AgentRuntime/AgentRuntimeCoordinator.ts,https://github.com/lobehub/lobehub/blob/035f1e7476eb8a3c66befb76f16ae25673d31e4a/apps/server/src/modules/AgentRuntime/AgentRuntimeCoordinator.ts
pinned-source,anythingllm,README.md,https://github.com/Mintplex-Labs/anything-llm/blob/d401491d67ee88c40d04ab67d71b7360ca6627b4/README.md
pinned-source,anythingllm,server/utils/agents/aibitat/index.js,https://github.com/Mintplex-Labs/anything-llm/blob/d401491d67ee88c40d04ab67d71b7360ca6627b4/server/utils/agents/aibitat/index.js
pinned-source,anythingllm,server/utils/agentFlows/executor.js,https://github.com/Mintplex-Labs/anything-llm/blob/d401491d67ee88c40d04ab67d71b7360ca6627b4/server/utils/agentFlows/executor.js
official-document,claude-cowork,,https://claude.com/product/cowork
official-document,openai-index,,https://learn.chatgpt.com/docs/llms.txt
official-document,claude-how,,https://code.claude.com/docs/en/how-claude-code-works.md
official-document,claude-memory,,https://code.claude.com/docs/en/memory.md
official-document,claude-subagents,,https://code.claude.com/docs/en/sub-agents.md
official-document,claude-hooks,,https://code.claude.com/docs/en/hooks.md
official-document,claude-agent-teams,,https://code.claude.com/docs/en/agent-teams.md
official-document,claude-sandbox,,https://code.claude.com/docs/en/sandboxing.md
repository,claude-code,,https://github.com/anthropics/claude-code
official-document,openai-codex-cli,,https://learn.chatgpt.com/docs/codex/cli.md
official-document,openai-worktrees,,https://learn.chatgpt.com/docs/environments/git-worktrees.md
pinned-source,codex,codex-rs/core/README.md,https://github.com/openai/codex/blob/8a577399c774d1881ef030971d8f271694f55536/codex-rs/core/README.md
pinned-source,codex,codex-rs/app-server/README.md,https://github.com/openai/codex/blob/8a577399c774d1881ef030971d8f271694f55536/codex-rs/app-server/README.md
pinned-source,codex,codex-rs/core/src/agent/control/spawn.rs,https://github.com/openai/codex/blob/8a577399c774d1881ef030971d8f271694f55536/codex-rs/core/src/agent/control/spawn.rs
pinned-source,codex,codex-rs/core/src/compact.rs,https://github.com/openai/codex/blob/8a577399c774d1881ef030971d8f271694f55536/codex-rs/core/src/compact.rs
official-document,openai-customization,,https://learn.chatgpt.com/docs/customization/overview.md
official-document,openai-subagents,,https://learn.chatgpt.com/docs/agent-configuration/subagents.md
official-document,openai-models,,https://learn.chatgpt.com/docs/models.md
official-document,openai-config-basics,,https://learn.chatgpt.com/docs/config-file/config-basic.md
pinned-source,gemini-cli,README.md,https://github.com/google-gemini/gemini-cli/blob/d5b3e3accb26000d273abf16e0f1dd83aa5428a9/README.md
pinned-source,gemini-cli,packages/core/src/core/client.ts,https://github.com/google-gemini/gemini-cli/blob/d5b3e3accb26000d273abf16e0f1dd83aa5428a9/packages/core/src/core/client.ts
pinned-source,gemini-cli,packages/core/src/scheduler/scheduler.ts,https://github.com/google-gemini/gemini-cli/blob/d5b3e3accb26000d273abf16e0f1dd83aa5428a9/packages/core/src/scheduler/scheduler.ts
pinned-source,qwen-code,README.md,https://github.com/QwenLM/qwen-code/blob/99bf4ce86b32010644538046ea37b0ef0ad23921/README.md
pinned-source,qwen-code,packages/core/src/core/client.ts,https://github.com/QwenLM/qwen-code/blob/99bf4ce86b32010644538046ea37b0ef0ad23921/packages/core/src/core/client.ts
